experiment,model,category,shot,seed,image_auroc,image_ap,pixel_auroc,pixel_ap,aupro_0.3,max_f1,iou_at_best_f1,fragmentation,pixel_threshold,fit_ms,inference_ms_per_image,memory_mb,normal_mean_score,anomaly_mean_score
ablation,ppm-ad-full,carpet,10,0,0.978330658105939,0.9937012384637521,0.9848474112343122,0.45489159806040236,0.9205380206231797,0.5397605334775579,0.36963836812533,0.013009510974914072,6.5085039138793945,3378.120305998891,2.2803777947591053,0.1259765625,4.855003833770752,8.765924453735352
ablation,prototype-only,carpet,10,0,0.9803370786516854,0.9946371919493617,0.9866156186169475,0.52172296146081,0.8620103626849883,0.5726944001042447,0.4012416122700507,0.0012445891420724206,7.956027507781982,3120.2045630052453,0.9998416752727607,0.1259765625,5.395997524261475,11.060990333557129
ablation,w/o competition,carpet,10,0,0.9843499197431781,0.9957713426088632,0.9865035253701497,0.5063330592237073,0.9087588533900881,0.5881165827371023,0.41654755310975716,0.0014952455177428391,7.63342809677124,3141.7883109970717,2.160864069005156,0.1259765625,5.1608991622924805,10.092381477355957
ablation,w/o attractor,carpet,10,0,0.9747191011235955,0.992570081664242,0.9851704017631375,0.475952534076416,0.8866177360457478,0.5380107599689758,0.36799912423265096,0.002161933750395549,7.027945518493652,3097.935363999568,1.430145341643773,0.1259765625,4.998661994934082,9.382981300354004
ablation,w/o group,carpet,10,0,0.9803370786516854,0.9942943417740001,0.9841591437382565,0.44797654918252355,0.8339065356139662,0.5348311244367457,0.3650303615896433,0.005753940912679583,6.579661846160889,3144.738850001886,1.9237905808895603,0.1259765625,5.044390678405762,8.921531677246094
ablation,ppm-ad-full,carpet,10,1,0.9875601926163724,0.9967910268324225,0.9890655961400102,0.5909581060006512,0.846066377046174,0.6105451359711073,0.4394134360009059,0.0007386651023207287,8.89692497253418,3100.5479070008732,2.253651444458912,0.1259765625,4.954025745391846,11.661517143249512
ablation,prototype-only,carpet,10,1,0.9863563402889246,0.9965398646709289,0.990307673942732,0.6351373079052441,0.8422512818449653,0.6273389081635679,0.45702388731968396,0.0013752319490669262,9.285598754882812,3143.936920998385,0.9931128121475673,0.1259765625,5.320011615753174,12.178488731384277
ablation,w/o competition,carpet,10,1,0.9879614767255217,0.9969087284514803,0.9887706435423228,0.5960553934519779,0.8113247660530821,0.6100726302421483,0.43892410748658983,0.00932346816736516,9.03891658782959,3060.8801880007377,2.156062247793779,0.1259765625,5.1236724853515625,12.069746971130371
ablation,w/o attractor,carpet,10,1,0.9879614767255216,0.996864703894568,0.9905369509780395,0.6338138560675393,0.871260899627361,0.625339194417829,0.4549043603181782,0.0012294919337354747,8.949195861816406,3069.209849003528,1.3919936924124074,0.1259765625,5.051257133483887,11.611760139465332
ablation,w/o group,carpet,10,1,0.9879614767255218,0.9969130652955797,0.9888362257495613,0.5873165970674932,0.7912950021384606,0.6105306669327365,0.4393984468768273,0.004140269471773007,8.969939231872559,3111.7554629963706,1.9135714362949554,0.1259765625,5.127781391143799,11.836973190307617
ablation,ppm-ad-full,carpet,10,2,0.9257624398073837,0.977794691971319,0.9747617901907268,0.37946157763939786,0.7784736886404876,0.43436672788208625,0.2774383603220796,0.003907361461109973,5.510989189147949,3192.97357799951,2.232701649230658,0.1259765625,4.942074775695801,7.909035682678223
ablation,prototype-only,carpet,10,2,0.9558587479935794,0.9879190836342864,0.9785135957322704,0.5456787104628131,0.8712166595369055,0.5558459427161089,0.3848937998772253,0.0023762743205155115,6.82945442199707,2943.919238001399,0.9854438202381015,0.1259765625,4.920188903808594,9.52952766418457
ablation,w/o competition,carpet,10,2,0.9518459069020867,0.9863217364723207,0.9824015379961296,0.4846392748374353,0.8382360595140814,0.5172949764941204,0.34888596739961675,0.0017390502615994546,6.458751678466797,3210.748268997122,2.155783350015274,0.1259765625,5.122104644775391,9.005960464477539
ablation,w/o attractor,carpet,10,2,0.9450240770465489,0.9847706907813671,0.9690467226392494,0.4560360685442513,0.8146474591495705,0.49698746357193363,0.33066089039618546,0.004440924052651051,6.030218124389648,3086.3546719992883,1.3759902389381782,0.1259765625,4.587704658508301,8.205780029296875
ablation,w/o group,carpet,10,2,0.9217495987158909,0.9764951291511004,0.9736165021487667,0.37369776227657564,0.8288749215251798,0.42921055215068094,0.273245120622846,0.003685208124980866,5.581307411193848,3053.3057779975934,1.8721720164330302,0.1259765625,5.117228031158447,8.036483764648438
ablation,ppm-ad-full,bottle,10,0,0.9976190476190476,0.9992440151090303,0.9815692517431318,0.7496557728351251,0.9157673883762618,0.7120477119907052,0.5528525541045248,0.014169280233614497,5.20817756652832,3151.01790499466,2.2334405781206095,0.1259765625,3.679839611053467,9.341419219970703
ablation,prototype-only,bottle,10,0,0.9976190476190476,0.9992440151090303,0.9839949513290859,0.7678849080933166,0.9305735123967139,0.7315815609880678,0.5767667344523565,0.0014316261519713887,5.832943439483643,3138.2813419986633,0.9902659758044609,0.1259765625,3.476680040359497,9.309592247009277
ablation,w/o competition,bottle,10,0,0.9976190476190476,0.9992440151090303,0.9837998519526866,0.7644820911549551,0.9188118483268012,0.7285151514726842,0.5729640839342123,0.005197911492827105,4.828572750091553,3068.7337039998965,2.160477325483646,0.1259765625,3.068406581878662,8.689456939697266
ablation,w/o attractor,bottle,10,0,0.9976190476190476,0.9992440151090303,0.9826184869560408,0.7581335105899126,0.872335618721291,0.7154851938497103,0.5570081328949645,0.001677550257864033,6.177347183227539,3225.3235170064727,1.5209366390180032,0.1259765625,3.900968551635742,9.842690467834473
ablation,w/o group,bottle,10,0,0.9976190476190476,0.9992440151090303,0.9806563051425748,0.7420502098173947,0.8849321719434532,0.7086869215637359,0.5488110771881374,0.0030872814205870265,5.2640700340271,3105.7466470010695,1.9305878802215266,0.1259765625,3.876556396484375,9.507810592651367
ablation,ppm-ad-full,bottle,10,1,1.0,0.9999999999999998,0.9814106524543033,0.7347895819525959,0.8818024635510674,0.7094016851783097,0.5496688450862584,0.003269573884159215,5.442554950714111,3110.7924039970385,2.4300463732923885,0.1259765625,3.5764987468719482,8.77017593383789
ablation,prototype-only,bottle,10,1,1.0,0.9999999999999998,0.9812041713043872,0.6946805997639637,0.8242531257299748,0.7113541098180177,0.5520167450482152,0.0030164433276176255,5.430288791656494,3292.736938004964,1.078538566298996,0.1259765625,3.178941011428833,8.090509414672852
ablation,w/o competition,bottle,10,1,1.0,0.9999999999999998,0.9829793028805685,0.742003399730296,0.838950438466243,0.7219994862803346,0.5649445978538222,0.0009423133395029892,4.7238640785217285,3248.684250000224,2.470535204776686,0.1259765625,2.9193544387817383,7.91652774810791
ablation,w/o attractor,bottle,10,1,1.0,0.9999999999999998,0.9808484241391907,0.702367466864328,0.8821247608520951,0.7021481207337306,0.5410079007865555,0.00045544668189489437,6.0420989990234375,3248.131631000433,1.5044479761679421,0.1259765625,3.6510391235351562,8.839673042297363
ablation,w/o group,bottle,10,1,1.0,0.9999999999999998,0.9805734851349022,0.7269858893584634,0.8843512000784275,0.7066074693131366,0.5463209756885551,0.0036883664647881643,5.457339763641357,3252.6458549982635,2.0436708672857193,0.1259765625,3.759331226348877,8.90557861328125
ablation,ppm-ad-full,bottle,10,2,1.0,0.9999999999999998,0.9830781462743381,0.7370451830273272,0.8505925141845452,0.7275647932853174,0.5717892663185786,0.001936890426784198,5.412688255310059,2947.9764080024324,2.389989289330986,0.1259765625,3.691972255706787,8.821222305297852
ablation,prototype-only,bottle,10,2,0.9912698412698412,0.9970320789130154,0.9826882467980588,0.7003969268253543,0.8046164555432636,0.722531721304073,0.5655966049048609,0.001701757742329508,5.527029037475586,3062.3459490016103,1.0406499033750325,0.1259765625,3.519296646118164,8.572408676147461
ablation,w/o competition,bottle,10,2,0.9992063492063492,0.999751984126984,0.984555727115423,0.7421222735668911,0.8335060783800656,0.7345612718427732,0.5804795250043163,0.0014729288139113054,4.775765419006348,2968.8463079946814,2.2928830480247915,0.1259765625,3.064603805541992,7.977586269378662
ablation,w/o attractor,bottle,10,2,0.996031746031746,0.9987192514695127,0.9826797456929642,0.7084884721350609,0.9126729733790266,0.7206732759466876,0.5633223025806624,0.004868344934826747,6.147115707397461,2993.774721006048,1.4718015300753773,0.1259765625,3.8970565795898438,9.260836601257324
ablation,w/o group,bottle,10,2,1.0,0.9999999999999998,0.9821587573923123,0.7300052344785036,0.8333146047140737,0.7241501451691601,0.5675825744128586,0.026764438597608003,5.4716691970825195,2997.5597410011687,2.0280425301444414,0.1259765625,3.9017493724823,8.981121063232422
