experiment,model,shot,category,image_auroc,image_auroc,image_ap,image_ap,pixel_auroc,pixel_auroc,pixel_ap,pixel_ap,aupro_0.3,aupro_0.3,max_f1,max_f1,iou_at_best_f1,iou_at_best_f1,fragmentation,fragmentation,fit_ms,fit_ms,inference_ms_per_image,inference_ms_per_image,memory_mb,memory_mb
,,,,mean,std,mean,std,mean,std,mean,std,mean,std,mean,std,mean,std,mean,std,mean,std,mean,std,mean,std
ablation,ppm-ad-full,10,bottle,0.9992063492063492,0.0013746434980705326,0.9997480050363432,0.00043646808030452716,0.9820193501572577,0.0009203669630982054,0.7404968459383494,0.008011640935379144,0.8827207887039581,0.03259714017044057,0.7163380634847775,0.009812235269485133,0.5581035551697873,0.011958595988424471,0.006458581514852637,0.006710824639940095,3069.9289056647103,107.51200629315004,2.3511587469146615,0.10389570704336815,0.1259765625,0.0
ablation,ppm-ad-full,10,carpet,0.9638844301765651,0.0333355769276727,0.9894289857558313,0.010193345473349123,0.9828915991883497,0.007349735827091869,0.47510376056681713,0.10718719145543884,0.8483593621032804,0.07105991796207073,0.5282241324435838,0.08865395806622468,0.36216338814943844,0.0812458477678728,0.005885179179448258,0.0063700264365593425,3223.880596999758,141.34370180163666,2.255576962816225,0.02389632668048956,0.1259765625,0.0
ablation,prototype-only,10,bottle,0.9962962962962963,0.0045128894468867975,0.9987586980073484,0.0015423321339874672,0.9826291231438439,0.0013963291128634666,0.7209874782275448,0.040714810508946646,0.853147697889984,0.06776774504163709,0.7218224640367196,0.0101323605153321,0.5647933614684776,0.012394530805554752,0.002049942407306174,0.0008478418430046454,3164.454743001746,117.40437446508118,1.0364848151594963,0.04428344530449687,0.1259765625,0.0
ablation,prototype-only,10,carpet,0.9741840556447299,0.01615303541277515,0.9930320467515257,0.004528999310006134,0.98514562943065,0.006032886652714002,0.5675129932762891,0.05977671306067834,0.8584927680222864,0.014799607439641389,0.5852930836613072,0.03737453876165081,0.4143864331556533,0.037819004689443055,0.0016653651372182862,0.000619120978425943,3069.3535740016764,109.2755036128934,0.9927994358861433,0.00720404129018451,0.1259765625,0.0
ablation,w/o attractor,10,bottle,0.9978835978835979,0.0019973106971615797,0.9993210888595142,0.0006438435150302029,0.9820488855960653,0.0010400812181235604,0.7229964831964338,0.030583078604330287,0.8890444509841376,0.021040131388339847,0.7127688635100428,0.009556630253477739,0.5537794454207274,0.011502236693875317,0.0023337806248618915,0.002278463620207674,3155.7432896709847,140.73171441617777,1.4990620484204407,0.025006417095955802,0.1259765625,0.0
ablation,w/o attractor,10,carpet,0.969234884965222,0.021987781674188644,0.9914018254467257,0.006131060694357298,0.9815846917934755,0.011184831938980356,0.5219341528960689,0.09740106460468344,0.8575086982742265,0.03790478163333714,0.5534458059862462,0.06555320119529429,0.3845214583156715,0.06374833799580572,0.002610783245594025,0.0016520966877291386,3084.4999616674613,14.452292750915719,1.3993764243314528,0.027822155473736218,0.1259765625,0.0
ablation,w/o competition,10,bottle,0.9989417989417989,0.0012123216124221787,0.9996653330786712,0.00038536942272811715,0.9837782939828927,0.0007884331941296589,0.7495359214840475,0.012943899088795771,0.86375612172437,0.04775730350405296,0.7283586365319307,0.006282355197231525,0.5727960689307836,0.00776882630606596,0.0025377178820804665,0.0023190215027923565,3095.421420664934,141.8149996018381,2.3079651927617078,0.15557819720424637,0.1259765625,0.0
ablation,w/o competition,10,carpet,0.9747191011235955,0.019890904865800505,0.9930006025108881,0.0058119575281993215,0.9858919023028673,0.0032283027192258696,0.5290092425043734,0.05906813724772629,0.8527732263190839,0.05031746473975194,0.5718280631577903,0.04848618526252053,0.40145254266532127,0.0468786856984981,0.004185921315569151,0.004450915740505661,3137.8055893316437,75.01337866862761,2.15756988893807,0.002856249766477878,0.1259765625,0.0
ablation,w/o group,10,bottle,0.9992063492063492,0.0013746434980705326,0.9997480050363432,0.00043646808030452716,0.9811295158899297,0.0008923106752065903,0.7330137778847873,0.00797006510594259,0.8675326589119848,0.029635127921022558,0.7131481786820109,0.009584543826072106,0.5542382090965171,0.011623433900596749,0.011180028827661065,0.013499840618163006,3118.650747666834,128.0317079829401,2.0007670925505625,0.061277260160627886,0.1259765625,0.0
ablation,w/o group,10,carpet,0.9633493846976994,0.036227606970324185,0.9892341787402268,0.011109768969077762,0.9822039572121949,0.0077959644935643,0.4696636361755308,0.10844813945402211,0.8180254864258689,0.02328558304539858,0.5248574478400544,0.09107058622182022,0.35922464302977214,0.08322867133574108,0.004526472836477819,0.0010870964151844648,3103.2666969986167,46.303844604514296,1.9031780112058485,0.027333797997175505,0.1259765625,0.0
