experiment,model,category,shot,seed,drift_level,policy,image_auroc,image_ap,pixel_auroc,pixel_ap,aupro_0.3,max_f1,iou_at_best_f1,fragmentation,pixel_threshold,fit_ms,inference_ms_per_image,memory_mb,normal_mean_score,anomaly_mean_score,delta_anomaly_score,accepted_updates
drift,ppm-ad-full,carpet,10,0,0.0,fixed,0.978330658105939,0.9937012384637521,0.9848474112343122,0.45489159806040236,0.9205380206231797,0.5397605334775579,0.36963836812533,0.013009510974914072,6.5085039138793945,3314.020062003692,2.3258764531341996,0.1259765625,4.855003833770752,8.765924453735352,0.0,0
drift,ppm-ad-full,carpet,10,0,0.0,ungated,0.978330658105939,0.9937012384637521,0.9848474112343122,0.45489159806040236,0.9205380206231797,0.5397605334775579,0.36963836812533,0.013009510974914072,6.5085039138793945,3314.020062003692,2.287716914526024,0.1259765625,4.855003833770752,8.765924453735352,0.0,5967
drift,ppm-ad-full,carpet,10,0,0.0,gated,0.978330658105939,0.9937012384637521,0.9848474112343122,0.45489159806040236,0.9205380206231797,0.5397605334775579,0.36963836812533,0.013009510974914072,6.5085039138793945,3314.020062003692,2.290463837462629,0.1259765625,4.855003833770752,8.765924453735352,0.0,5967
drift,ppm-ad-full,carpet,10,0,0.1,fixed,0.9791332263242375,0.9939744027434337,0.9847274937478564,0.4539530978325502,0.7812456549693302,0.538234972016162,0.3682089540468285,0.010141715077521563,6.534133434295654,3314.020062003692,2.264889444507615,0.1259765625,4.885331153869629,8.772007942199707,-0.006083488464355469,0
drift,ppm-ad-full,carpet,10,0,0.1,ungated,0.9831460674157303,0.9950089304456893,0.9841389702005872,0.41681735285825516,0.889957692388742,0.5063707924995323,0.33902041414075235,0.007193136284061109,7.038915634155273,3314.020062003692,2.2495133165119845,0.1259765625,5.0964460372924805,8.996695518493652,-0.23077106475830078,5967
drift,ppm-ad-full,carpet,10,0,0.1,gated,0.9839486356340289,0.9952418802410102,0.9840432490974724,0.4164377051036943,0.8820302936459287,0.5061722729567252,0.33884246743671664,0.005589024592126065,7.022239685058594,3314.020062003692,2.250129222281826,0.1259765625,5.096121788024902,8.992523193359375,-0.22659873962402344,5967
drift,ppm-ad-full,carpet,10,0,0.2,fixed,0.9783306581059389,0.9937191145846019,0.98457076022782,0.44945902461826176,0.7794926537886715,0.5354611553214633,0.3656175848575706,0.00888933632276375,6.528553009033203,3314.020062003692,2.298354623445238,0.1259765625,4.899594783782959,8.7752103805542,-0.009285926818847656,0
drift,ppm-ad-full,carpet,10,0,0.2,ungated,0.9823434991974318,0.9945929730392133,0.9829739210394639,0.4023589203229921,0.7765777125959653,0.4921971419976779,0.32643335260007833,0.006156773102657647,6.943221569061279,3314.020062003692,2.303608213715518,0.1259765625,5.182809352874756,8.907083511352539,-0.1411590576171875,5967
drift,ppm-ad-full,carpet,10,0,0.2,gated,0.9819422150882824,0.9944939631382232,0.9828532229682359,0.40086574037040223,0.7771187542412277,0.49105939437505614,0.3254332162210445,0.006233944856129504,6.948846340179443,3314.020062003692,2.294834760668425,0.1259765625,5.1792778968811035,8.9105224609375,-0.14459800720214844,5967
drift,ppm-ad-full,carpet,10,0,0.3,fixed,0.9791332263242375,0.9939879113954366,0.9844941104850293,0.446331763603447,0.8438039029503133,0.5336608944924748,0.36394098233352745,0.005901791375414526,6.533456802368164,3314.020062003692,2.264712119408342,0.1259765625,4.927973747253418,8.786983489990234,-0.021059036254882812,0
