experiment,model,shot,category,drift_level,policy,image_auroc,image_auroc,image_ap,image_ap,pixel_auroc,pixel_auroc,pixel_ap,pixel_ap,aupro_0.3,aupro_0.3,max_f1,max_f1,iou_at_best_f1,iou_at_best_f1,fragmentation,fragmentation,fit_ms,fit_ms,inference_ms_per_image,inference_ms_per_image,memory_mb,memory_mb
,,,,,,mean,std,mean,std,mean,std,mean,std,mean,std,mean,std,mean,std,mean,std,mean,std,mean,std,mean,std
drift,ppm-ad-full,10,bottle,0.0,fixed,0.9992063492063492,0.0013746434980705326,0.9997480050363432,0.00043646808030452716,0.9820193501572577,0.0009203669630982054,0.7404968459383494,0.008011640935379144,0.8827207887039581,0.03259714017044057,0.7163380634847775,0.009812235269485133,0.5581035551697873,0.011958595988424471,0.006458581514852637,0.006710824639940095,3058.863982335121,101.97961584565219,2.294816132683969,0.017666217495955438,0.1259765625,0.0
drift,ppm-ad-full,10,bottle,0.0,gated,0.9992063492063492,0.0013746434980705326,0.9997480050363432,0.00043646808030452716,0.9820193501572577,0.0009203669630982054,0.7404968459383494,0.008011640935379144,0.8827207887039581,0.03259714017044057,0.7163380634847775,0.009812235269485133,0.5581035551697873,0.011958595988424471,0.006458581514852637,0.006710824639940095,3058.863982335121,101.97961584565219,2.290180526406366,0.010978709260731414,0.1259765625,0.0
drift,ppm-ad-full,10,bottle,0.0,ungated,0.9992063492063492,0.0013746434980705326,0.9997480050363432,0.00043646808030452716,0.9820193501572577,0.0009203669630982054,0.7404968459383494,0.008011640935379144,0.8827207887039581,0.03259714017044057,0.7163380634847775,0.009812235269485133,0.5581035551697873,0.011958595988424471,0.006458581514852637,0.006710824639940095,3058.863982335121,101.97961584565219,2.2897549117560008,0.01073093414842996,0.1259765625,0.0
drift,ppm-ad-full,10,bottle,0.1,fixed,0.9992063492063492,0.0013746434980705326,0.9997480050363432,0.00043646808030452716,0.9821001953344412,0.000903650822077176,0.7403519085336626,0.006614489733183238,0.8643482861881022,0.03974753070980325,0.7174346949984987,0.009985418856834486,0.5594380543418845,0.012189370476343435,0.008486801953039516,0.008680083835138228,3058.863982335121,101.97961584565219,2.3642878594432384,0.08562995861620905,0.1259765625,0.0
drift,ppm-ad-full,10,bottle,0.1,gated,0.9992063492063492,0.0013746434980705326,0.9997480050363432,0.00043646808030452716,0.9827233614662124,0.0009207848717430015,0.7399935786334622,0.020364364993585904,0.8529739897952268,0.02889265467104364,0.7224115454093069,0.008378782462710845,0.5654940889170477,0.010235473307729925,0.002505683371605491,0.000257867285190445,3058.863982335121,101.97961584565219,2.344722634766496,0.08108219603898363,0.1259765625,0.0
drift,ppm-ad-full,10,bottle,0.1,ungated,0.9992063492063492,0.0013746434980705326,0.9997480050363432,0.00043646808030452716,0.9827233614662124,0.0009207848717430015,0.7399935786334622,0.020364364993585904,0.8529739897952268,0.02889265467104364,0.7224115454093069,0.008378782462710845,0.5654940889170477,0.010235473307729925,0.002505683371605491,0.000257867285190445,3058.863982335121,101.97961584565219,2.3030151967971446,0.004987080862586022,0.1259765625,0.0
drift,ppm-ad-full,10,bottle,0.2,fixed,0.9992063492063492,0.0013746434980705326,0.9997480050363432,0.00043646808030452716,0.9820069218187933,0.000980499523570271,0.741041935463262,0.006442264437448455,0.8957446970976783,0.020638958380892754,0.7165566053233826,0.010863472597198488,0.5583826976146665,0.013252630922420353,0.0025620833567882163,0.001021105732537782,3058.863982335121,101.97961584565219,2.4177103574424197,0.10974154214196552,0.1259765625,0.0
drift,ppm-ad-full,10,bottle,0.2,gated,0.9986772486772487,0.0016521158725921518,0.9995852048735432,0.000518699853317603,0.9823842736296363,0.0008047260998522691,0.7286209708513658,0.018946915457337794,0.8839557579341012,0.04115935946324431,0.7207101745824142,0.007562633948308911,0.5634037078163533,0.009214346767187553,0.0030033750923952243,0.0026286124316029147,3058.863982335121,101.97961584565219,2.2802032489048125,0.017401542903935894,0.1259765625,0.0
drift,ppm-ad-full,10,bottle,0.2,ungated,0.9986772486772487,0.0016521158725921518,0.9995852048735432,0.000518699853317603,0.9823842736296363,0.0008047260998522691,0.7286209708513658,0.018946915457337794,0.8839557579341012,0.04115935946324431,0.7207101745824142,0.007562633948308911,0.5634037078163533,0.009214346767187553,0.0030033750923952243,0.0026286124316029147,3058.863982335121,101.97961584565219,2.2918929639106422,0.034325925858097364,0.1259765625,0.0
