experiment,model,shot,category,image_auroc,image_auroc,image_ap,image_ap,pixel_auroc,pixel_auroc,pixel_ap,pixel_ap,aupro_0.3,aupro_0.3,max_f1,max_f1,iou_at_best_f1,iou_at_best_f1,fragmentation,fragmentation,fit_ms,fit_ms,inference_ms_per_image,inference_ms_per_image,memory_mb,memory_mb
,,,,mean,std,mean,std,mean,std,mean,std,mean,std,mean,std,mean,std,mean,std,mean,std,mean,std,mean,std
fewshot,patchcore,5,bottle,0.9968253968253968,,0.9989838017340629,,0.9854847224777064,,0.7900743677786066,,0.9106352537365,,0.7402038938700406,,0.58755848686016,,0.0009109999426829521,,0.6944959968677722,,2.077426541707456,,2.5,
fewshot,patchcore-coreset,5,bottle,0.9968253968253968,,0.9989838017340629,,0.9842624081898257,,0.7876869024542442,,0.8663613740430808,,0.7375285898839913,,0.5841942906384071,,0.003276760170175039,,1.0056079991045408,,0.3693658317311622,,0.25,
fewshot,ppm-ad-full,5,bottle,0.9936507936507937,,0.9980196246038411,,0.9815790667005684,,0.7609712460889838,,0.9030814631834602,,0.7287340866208332,,0.5732349770031799,,0.01669757642855943,,497.1121410053456,,2.3680766866470866,,0.031494140625,
fewshot,prototype-only,5,bottle,0.9912698412698413,,0.9970856390360201,,0.983707883971308,,0.7600216996233526,,0.871691945136884,,0.73472532750842,,0.5806844501689093,,0.01290784638706711,,966.3163820005138,,1.0459813128396622,,0.031494140625,
