experiment,model,shot,category,image_auroc,image_auroc,image_ap,image_ap,pixel_auroc,pixel_auroc,pixel_ap,pixel_ap,aupro_0.3,aupro_0.3,max_f1,max_f1,iou_at_best_f1,iou_at_best_f1,fragmentation,fragmentation,fit_ms,fit_ms,inference_ms_per_image,inference_ms_per_image,memory_mb,memory_mb
,,,,mean,std,mean,std,mean,std,mean,std,mean,std,mean,std,mean,std,mean,std,mean,std,mean,std,mean,std
fewshot,patchcore,5,bottle,0.9989417989417989,0.0018328579974273848,0.9996612672446874,0.0005867023423886963,0.9858647543785216,0.0003320159411742532,0.7742478245113955,0.014734857779629299,0.9117730822090747,0.010391895145936495,0.7485738932004309,0.007610268978021407,0.598215984540513,0.009698912183061245,0.0010192352342601023,0.0006259781407645169,0.6993926654104143,0.1158093304183871,0.4361570120464644,0.008211690435266194,2.5,0.0
fewshot,patchcore,5,carpet,0.975521669341894,0.006072530477697393,0.9932993928401399,0.0018517483750908536,0.986793787825451,0.0011716384135315732,0.5795075174092758,0.023344745037257454,0.8624343184943126,0.06037812713152461,0.5927194370261497,0.014296330748475897,0.4212781393035249,0.014384959276869825,0.002806558430672474,0.0023985554559184294,0.6755586679598006,0.08568183479405184,0.6410404615045493,0.36966995919600965,2.5,0.0
fewshot,patchcore,10,bottle,0.9989417989417989,0.0018328579974273848,0.9996612672446874,0.0005867023423886963,0.9858685813669902,0.0003946518813862904,0.7725833119456671,0.017927094059079322,0.8925611328151252,0.027985052514801198,0.7488791327345399,0.00724490658595493,0.5986022072293623,0.009229927990985355,0.0005393861965892914,0.00020198860794621318,0.9579239995218813,0.02747797463243341,0.4934525220660983,0.005700931174370485,5.0,0.0
fewshot,patchcore,10,carpet,0.975521669341894,0.006177690336412763,0.9931723958592379,0.0017068888958778933,0.9872313322177434,0.0010175981283754147,0.5825965602361154,0.02002633098712646,0.8877697604218516,0.02045195286626946,0.5924155977593571,0.011994726946495953,0.4209425694756506,0.012080079768014833,0.002695552246511765,0.00043170283738858025,0.9528853333904408,0.01713533573049227,0.48865756408249733,0.0066351695124315085,5.0,0.0
fewshot,patchcore,20,bottle,1.0,0.0,0.9999999999999997,0.0,0.9861133658950351,0.000156894487840814,0.7736009787217856,0.0188668490231385,0.8954711558763636,0.04038683261976317,0.7503446774074257,0.004641272924649715,0.6004560191030364,0.005941113856246755,0.0007759919472681787,0.0007052171004023325,1.5123843331821263,0.028102167587792996,0.8581291005692359,0.007170699536684065,10.0,0.0
fewshot,patchcore,20,carpet,0.9765917602996255,0.007968630823224443,0.9934210560286836,0.0022449240488570817,0.9875738182087543,0.0011958880297664363,0.5825372338588942,0.019466214438075943,0.8430916355486598,0.0563967744265109,0.5899880239470422,0.013377171554073206,0.41851232933973664,0.013385407131861609,0.0017142441188543764,0.0008275396161413692,1.4750583335019958,0.006676935874024107,0.8396457380041721,0.005638291390242204,10.0,0.0
fewshot,patchcore-coreset,5,bottle,0.9984126984126984,0.0015873015873015817,0.9994946110760473,0.0005081208169540228,0.9847510104734342,0.00042902302545455735,0.7713343459552607,0.01572622785489693,0.8844555254807859,0.04409295412904923,0.7456863928142727,0.007196476283373158,0.5945324662144108,0.009123119794197809,0.005650012815768484,0.006400482788506255,0.737659000151325,0.272365141647287,0.41204533328388226,0.09595945138855425,0.25,0.0
fewshot,patchcore-coreset,5,carpet,0.9522471910112359,0.011257431893343188,0.986733008640564,0.003428978284579082,0.9843204847755609,0.001337245255773654,0.5701871226141524,0.02432558639047173,0.8396350682335623,0.026248223149924112,0.588024006122216,0.011637924529867585,0.41651878501668255,0.011667070219741912,0.006378880459298727,0.00037492527778032865,0.6542273307180343,0.31828965917973046,0.3539055102953204,0.01347828491732736,0.25,0.0
fewshot,patchcore-coreset,10,bottle,0.9989417989417989,0.0018328579974273848,0.9996612672446874,0.0005867023423886963,0.9854216768465972,0.00028751482933231186,0.7739341303329317,0.01687967476506068,0.8892697342442105,0.01908667055233153,0.7485965404499328,0.008326689626316604,0.5982526103772555,0.010600730437355193,0.0032725380861196233,0.0014537061586568855,0.7061883322118471,0.13449574432697237,0.3589429882313892,0.013372895099258167,0.5,0.0
